first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
CEZARY,Piotrowski,SP/481375/2015,2015-02-03 ,"5 287,59 złotych",SPRZEDAŻ,MA
Lech ,czarnecki,oc/909854/2012,2012-06-28 ,2718.4300000000003 zł,OCHRONA,0 
iwona,Ostrowska,ks/695002/2011,2011-07-14 ,4518.0 złotych,KSIĘGOWOŚĆ  ,NIE
Grzegorz,KWIATKOWSKI,CZ/187386/2011,2011-02-14,"3 003,77 PLN",CZYSTOŚĆ,Prawda
Piotr,Wieczorek,MA_992781_2015,2015-10-11,"4 641,6 pln",MARKETING,0
Adam,Olszewski,LO/524620/2012,2012-11-25,3642.3 ZŁ,LOGISTYKA,FAŁSZ 
Włodzimierz,Jabłoński,SP/646943/2018,2018-08-26,3241.5 złotych,SPRZEDAŻ,nie 
,Walczak,MA.758625.2014,2014/05/29,"3 538,4 ZŁ ",MARKETING  ,nie ma
Bożena,Malinowska,ks/771225/2015,2015-11-30,6006.0 zł,KSIĘGOWOŚĆ,nie ma
Wojciech,Kaźmierczak,SP/486532/2013,2013/04/24,"4 563,0 PLN",SPRZEDAŻ,Nie 
,Stępień,KA/884219/2012,2012-06-28,4478.5235 zł,KADRY,Prawda
Paweł ,Czarnecki,ks/281910/2018,,"5 170,0 ZŁ ",KSIĘGOWOŚĆ,true
BOLESŁAW,Krawczyk,CZ/667832/2012,2012-10-06,"2 512,0 zł",CZYSTOŚĆ ,Fałsz
Bronisław,Michalak,SP.475750.2014,2014-07-18T00:00:00,3936.9 ZŁ,SPRZEDAŻ,Prawda
Sylwester,Sikorski,ZA/902761/2017,2017-07-22,72798.0 pln,ZARZĄD ,PRAWDA
Jerzy,Piotrowski,LO_384056_2012,2012-06-28T00:00:00,4141.665000000001 PLN,LOGISTYKA ,tak  
Romuald,głowacki,lo/717923/2015,2015-02-03,"3 987,225000000001 ZŁ",,MA 
Henryk  ,Dudek,SP-343543-2017,2017-09-10,5115.0 PLN,,Prawda
gertruda,kaczmarek,MA/783986/2016,2016-08-06T00:00:00,3808.6400000000003 pln,MARKETING,1
Sławomir,Sikorski,OC/550409/2016,2016-04-28,"3 384,370000000001 pln ",OCHRONA,Prawda
Helena  ,Piotrowska,MA/757890/2011,2011-10-22,5076.0 zł,MARKETING,nie ma
Bronisława  ,Lewandowska,KA/351040/2017,2017-06-02T00:00:00,3256.55 PLN,KADRY,Fałsz
Michał,,KS/707293/2018,2018-02-07,5709.000000000001 ZŁ,KSIĘGOWOŚĆ ,1
Antoni ,Mazur,SP/495419/2017 ,2017-12-19T00:00:00,3177.0 zł,SPRZEDAŻ,NIE
Marianna,Kaczmarek ,KA.485242.2014,2014/02/18,4971.9349999999995 PLN,KADRY,false
Józefa,jabłońska,cz/123693/2016,2016-03-09T00:00:00,2280.0 pln,CZYSTOŚĆ,0 
Kazimiera,NOWAK,KA_853660_2011,2011/07/14,4137.105 PLN,KADRY,False  
Jerzy,Kozłowski,IT.832537.2011,2011-09-02,9083.25 pln,IT,PRAWDA
Rozalia,Kamińska,LO/284886/2015,2015/07/03,3649.05 PLN,LOGISTYKA,false
Irena,Zając,MA_650986_2014,2014-07-18T00:00:00,"5 527,52 ZŁ",MARKETING,NIE MA
Aniela,Ostrowska,it/212924/2013,2013-01-14,6830.75 złotych,IT,0
Michał,Majewski,ma/786071/2016,2016-04-28T00:00:00,5358.400000000001 zł ,MARKETING,0
Ludwik ,Makowski,OC_836051_2017,,"2 457,9500000000003 PLN",OCHRONA,Nie
Sylwia,KAMIŃSKA,KS/192563/2014,2014-05-29  ,"7 656,000000000001 ZŁ",KSIĘGOWOŚĆ  ,MA
Aneta,Kowalczyk,SP/490205/2014  ,2014-12-15,"4 431,0 pln ",SPRZEDAŻ,FAŁSZ
Eugeniusz,,CZ/490369/2014,2014-09-06,2117.6 zł,CZYSTOŚĆ ,Nie
Rafał,Zakrzewski,lo/606241/2015,,3647.7000000000003 złotych,LOGISTYKA,Nie
Mirosław,wróblewski,SP/344014/2017,2017-04-13,5369.429999999999 ZŁ,SPRZEDAŻ ,True
TERESA,Nowakowska,cz/702687/2017,2017-09-10T00:00:00 ,2536.6000000000004 PLN,CZYSTOŚĆ,
Anna,Adamczyk,CZ/234866/2017,2017/12/19 ,"3 248,0 PLN",CZYSTOŚĆ,nie 
Lech,Szewczyk,SP.425096.2014,2014-12-15,"5 042,235000000001 złotych",SPRZEDAŻ,Prawda
Antoni,Dąbrowski,SP/540271/2014,2014-09-06,4914.855 pln,SPRZEDAŻ,ma
Janusz,Zieliński,MA/933450/2018,2018-05-18,5145.4400000000005 PLN,MARKETING,0  
ELŻBIETA,Dąbrowska,KS-133739-2010,2010-01-10,"5 032,0 pln",KSIĘGOWOŚĆ,NIE
Rafał,Kozłowski,KA/410897/2011,2011-04-05,3326.455 PLN,KADRY,nie 
Aldona,Mazur,SP/697644/2009,2009-06-24,"3 675,0 ZŁ",SPRZEDAŻ,NIE MA
Helena,Walczak,ma/828120/2012,2012-11-25,"4 944,0 złotych ",MARKETING,NIE MA
Jarosław,Dąbrowski,KA/192523/2017,2017-06-02T00:00:00,4155.085 pln,KADRY,tak
Józef,Pawlak,ks/247091/2014,2014-10-26T00:00:00,4636.0 złotych,KSIĘGOWOŚĆ ,nie
Katarzyna,Wróblewska,MA/219985/2018,2018/10/15,3959.36 ZŁ,MARKETING,nie ma
Rafał,Wilk,OC-689626-2018,2018/02/07  ,3477.1000000000004 PLN,OCHRONA,nie ma
Alojzy ,Stępień ,MA/499999/2010,2010-01-10,5065.280000000001 złotych,MARKETING,True  
Arkadiusz,Dąbrowski  ,KA/885809/2016,2016-01-19,4889.940000000001 zł,KADRY,MA
Barbara,Witkowska,MA.913557.2013,2013-12-30,"3 424,0 PLN",MARKETING,nie ma
Zbigniew,wasilewski,LO/185420/2009  ,2009-11-21,4808.2815 zł,LOGISTYKA,True
Waldemar ,zakrzewski,KA/394410/2011,2011-10-22,"4 659,3 PLN   ",KADRY,False
andrzej,wiśniewski,CZ/583866/2013,2013-11-10,2602.27 zł,CZYSTOŚĆ,TAK
Marek,Wiśniewski,CZ_171669_2014,2014/04/09,2152.0 pln,CZYSTOŚĆ,nie
Helena,kowalczyk,cz/912490/2011,2011/09/02,2531.2 pln,CZYSTOŚĆ,nie ma
Honorata,Wojciechowska,CZ/646564/2012,2012-05-09,2336.0 pln,CZYSTOŚĆ,NIE MA
Wiesław,Witkowski,ma/178107/2011,2011-02-14,3832.0 pln,MARKETING,False
Genowefa,Ostrowska,OC-656371-2016,2016-08-06,3507.0640000000008 pln,OCHRONA,Prawda   
Ludwika,pawłowska,ka/136162/2013,2013-04-24T00:00:00,3800.445 zł,KADRY,Nie 
Włodzimierz ,Dudek,ma/759046/2010,2010-04-20T00:00:00,4854.72 pln,MARKETING,FAŁSZ 
Grzegorz,Kaczmarek,MA/824233/2011,2011-09-02,4164.160000000001 zł,MARKETING  ,Tak
Małgorzata,Szymańska,CZ/981036/2013,2013-08-02  ,3000.6 złotych,CZYSTOŚĆ,Fałsz
Włodzimierz ,Grabowski,MA/828384/2011,2011-10-22,4468.8 zł,MARKETING,NIE MA
Leokadia,,sp/832784/2015,2015/05/14,4777.5 złotych,SPRZEDAŻ,nie
Wojciech,Pawłowski,KS/333553/2016,2016/08/06,5059.2 ZŁ,KSIĘGOWOŚĆ,NIE MA
Karolina,Dudek,OC_868259_2012,2012-03-20,"3 104,8600000000006 ZŁ  ",OCHRONA,ma
Adam,michalski,KA/580409/2018,2018-07-07,"3 453,71 złotych  ",KADRY  ,NIE
Zygmunt,Makowski,ma/442517/2017,,5156.8 złotych,MARKETING,MA
Stefan,Zając,cz/347979/2013,2013-12-30,3297.2 złotych,CZYSTOŚĆ,false
Zdzisław,Walczak  ,LO/412585/2011 ,2011/04/05,"3 989,2500000000005 ZŁ",LOGISTYKA,FAŁSZ
władysława,Wróbel,IT.543900.2011  ,2011-04-05,7590.0 zł,IT,nie ma
,jankowski,lo/477001/2014,2014/10/26,"3 728,8350000000005 zł",LOGISTYKA,ma
Hanna,Michalska,MA/589569/2015,2015/10/11,"4 856,896 PLN ",MARKETING,1
Waldemar,Szulc,MA/227588/2013,2013-04-24,"5 381,12 złotych",MARKETING,False
Magdalena,BARAN,MA-919292-2016,2016-04-28,4777.92 złotych,MARKETING,NIE
Aleksandra,Pawłowska,SP/632030/2014,2014-07-18T00:00:00,4939.950000000001 zł ,SPRZEDAŻ,FAŁSZ  
,Lewandowska,cz/245347/2013,2013-11-10,2357.0 złotych,CZYSTOŚĆ,NIE MA  
Wojciech,Baran ,LO-592094-2016 ,2016-04-28 ,3798.6300000000006 pln,LOGISTYKA,PRAWDA
Leokadia,Jabłońska,sp/769755/2011,2011-07-14,4111.950000000001 PLN,SPRZEDAŻ,FAŁSZ
Włodzimierz,Mazur,KS/404151/2018,2018-07-07,7559.200000000001 pln ,KSIĘGOWOŚĆ,true
Sławomir,Sikorski,OC-550409-2016,2016-04-28,"3 384,370000000001 pln ",OCHRONA,Prawda
Jerzy,Stępień,CZ_254149_2016,2016/06/17,"2 945,0 zł ",CZYSTOŚĆ ,Fałsz
Mariusz,Lis ,KA_316716_2013,2013-08-02,4774.0 ZŁ,KADRY,0
Sylwester,adamski,KA/747916/2014,2014-07-18,"5 249,85 ZŁ",KADRY,0
Jacek,Szymański,IT-644490-2014,2014-12-15T00:00:00,5596.75 pln,IT,NIE MA
,Zając,LO/536956/2016    ,2016-08-06,3416.094000000001 pln,LOGISTYKA ,MA 
Leokadia,kamińska,MA_792703_2013,2013-09-21T00:00:00,4385.920000000001 PLN ,MARKETING,TAK
marta,rutkowska,LO/317979/2014,2014-10-26,2945.7000000000003 PLN,LOGISTYKA,Nie
przemysław,Tomaszewski,CZ/389058/2016,2016-04-28,"3 316,0 złotych",CZYSTOŚĆ,false
Antonina,Majewska,SP/707111/2010,2010-04-20T00:00:00,3604.6499999999996 złotych,SPRZEDAŻ,nie
Mirosław,Jankowski,KA/917310/2014,2014-02-18 ,"3 694,425 złotych",KADRY,
arkadiusz,Szewczyk ,MA/805554/2011,2011-07-14,"5 084,464000000001 zł",MARKETING,TAK
Janusz  ,Marciniak,MA/569468/2014,2014-02-18,5498.944000000001 złotych,MARKETING,ma
,PIETRZAK     ,LO-453889-2014,2014/05/29,2861.46 PLN,LOGISTYKA,NIE
Stefania,Szewczyk,LO-825521-2014,2014-02-18,3503.2500000000005 ZŁ ,LOGISTYKA,Fałsz
,Wróblewska,CZ/271811/2010,2010-07-29T00:00:00,3428.7000000000003 ZŁ,CZYSTOŚĆ,Tak
Mariusz,Krawczyk,MA/456580/2013,2013-09-21T00:00:00,4051.2000000000003 ZŁ,MARKETING,False
Józef,Szewczyk,LO/706778/2013,2013-12-30,4253.175 złotych  ,LOGISTYKA,Fałsz
justyna,Pawłowska,ma/554027/2012,2012-03-20,4146.56 PLN,MARKETING,Tak
BEATA,Pawlak,sp/463022/2013,2013-11-10,3640.0499999999997 PLN,SPRZEDAŻ,NIE
Alfreda,Tomaszewska,SP/531735/2017  ,2017/12/19,"5 382,3 pln",SPRZEDAŻ,PRAWDA
Alfred,Zając  ,KA/708940/2012,2012-03-20,"4 344,805 złotych",KADRY,nie
Przemysław,Marciniak,KA/931825/2016 ,2016/06/17,3837.9550000000004 zł  ,KADRY  ,ma
Roman,Walczak,ma/818164/2013,2013-04-24T00:00:00,5788.112000000001 PLN,MARKETING,tak 
Włodzimierz ,Nowak,ma/205497/2018,2018-10-15,6091.712 złotych,MARKETING,Tak
michalina,Pawlak,KS/725153/2018,2018-07-07T00:00:00,5120.0 ZŁ,KSIĘGOWOŚĆ,
Elżbieta,Wróblewska,sp/152550/2014 ,2014-10-26,4021.5450000000005 pln,SPRZEDAŻ,True
Roman,Czarnecki,ks/137537/2013,2013-01-14,7378.8 złotych,KSIĘGOWOŚĆ,1
Józefa ,Krawczyk,MA-277970-2018,2018-03-29,5145.6 złotych,MARKETING,NIE MA
Julia,Wróblewska,MA/384543/2012,2012-10-06,5164.8 złotych,MARKETING  ,False
Krzysztof,Kaczmarek,LO/432975/2017,2017-01-03,3746.2500000000005 złotych ,LOGISTYKA,Fałsz
Robert,Wróbel,LO-912158-2017,2017-10-30T00:00:00,"3 310,0650000000005 zł",LOGISTYKA,Prawda
Antonina,Stępień,MA-807451-2016,2016/09/25,4437.12 zł,MARKETING,nie ma
Ilona,Kwiatkowska,KS.908912.2009,2009-11-21,5249.8 pln,KSIĘGOWOŚĆ,NIE
,Urbański,ZA/634089/2016,2016-01-19,58242.25000000001 zł,ZARZĄD,ma
Czesława ,Baran ,oc/653235/2013,2013/04/24,3028.52 pln,OCHRONA,Fałsz
Gertruda,Kowalska ,MA-289247-2016,2016-03-09,4260.8 ZŁ,MARKETING,nie
Kazimierz ,wysocki ,ks/271646/2010,2010-06-09,6743.000000000001 złotych,KSIĘGOWOŚĆ,tak
Mieczysław,Zalewski,ks/806366/2015,2015-05-14T00:00:00,6520.0 PLN,KSIĘGOWOŚĆ,False
Cezary,Kubiak,CZ.842897.2013,2013-09-21,2771.0 złotych,CZYSTOŚĆ,NIE
Lech,Nowakowski,LO/212771/2012,2012/05/09,3799.17 pln,LOGISTYKA,nie
Andrzej ,Sokołowski,sp/165764/2016,2016-04-28,"5 116,650000000001 ZŁ",SPRZEDAŻ,True  
,górski,IT/927859/2013,2013-03-05,8162.000000000001 zł,IT,True
TOMASZ,Nowakowski,SP/748572/2011,2011-07-14T00:00:00,3531.2999999999997 PLN,SPRZEDAŻ,False
Franciszek,Bąk,ka/485074/2012  ,2012/05/09,"4 815,85 złotych",KADRY,0
Przemysław,Nowakowski,oc/341137/2011,2011/07/14  ,3096.5000000000005 złotych,OCHRONA,FAŁSZ
Marcin,Szewczyk,SP/752588/2017,2017-01-03,3768.0 PLN,SPRZEDAŻ,nie
Hanna,Witkowska,SP/437182/2011,2011-07-14,3773.88 ZŁ,SPRZEDAŻ ,tak
Ireneusz,jakubowski,ma/921723/2018  ,2018-03-29T00:00:00 ,4065.6000000000004 ZŁ ,MARKETING,NIE MA
Aleksander,Krawczyk,ka/146479/2014,2014-02-18,3498.35 ZŁ,KADRY,Nie
Jerzy,Mazurek,SP/874639/2018,2018-05-18,4848.6 złotych,SPRZEDAŻ,NIE
Marzena,Mazur  ,IT_847472_2017,2017/10/30,"7 214,5 ZŁ",IT,FAŁSZ
Mariola,Górska,LO/167003/2015  ,2015-05-14,5085.976500000002 złotych,LOGISTYKA,MA
Kazimierz,Kowalczyk ,cz/386826/2010 ,2010/03/01,3663.2200000000003 zł,  ,MA
Wiesława,Wiśniewska,MA_926921_2013,2013/12/30,5500.704000000001 ZŁ,MARKETING ,PRAWDA
Leon,walczak,KA/295829/2017,2017-02-22,3489.05 pln,KADRY  ,FAŁSZ
Paweł,Górski,KA/393466/2017,2017-12-19 ,3845.9685000000004 pln,KADRY,MA
Grażyna,,ma/883369/2018,2018-08-26,"3 935,3600000000006 ZŁ ",MARKETING,tak
Romuald,Szewczyk,LO/368427/2011,2011-10-22,3554.82 pln,LOGISTYKA,nie ma
Grzegorz ,Krajewski,LO/395237/2017,2017/07/22,4136.400000000001 zł  ,LOGISTYKA,nie ma
paweł,Pawlak,cz/257872/2017,2017/01/03,3825.8 PLN,CZYSTOŚĆ,1
Ewa,WALCZAK ,it/323693/2016,2016-06-17,"9 412,150000000001 zł",IT,true
rozalia,Witkowska,SP/663260/2017,2017-02-22,4719.0 złotych,SPRZEDAŻ ,PRAWDA
Urszula,Adamczyk,CZ-288915-2015  ,2015-02-03T00:00:00,3051.4 zł,CZYSTOŚĆ,Prawda
Daniela,grabowska,SP/550997/2016,2016/11/14,5097.675 pln,,Tak
Leszek,Woźniak,KA_985558_2015,2015-07-03,5651.734000000001 PLN,KADRY,Tak
Barbara  ,Jabłońska,SP_522526_2017,2017-10-30T00:00:00,"5 030,700000000001 ZŁ",SPRZEDAŻ,False
Zygmunt,pawlak,SP/966823/2010,2010-01-10,4451.700000000001 PLN ,SPRZEDAŻ,MA
Julian,Krawczyk ,KS/101299/2011,2011/07/14,"4 420,2 złotych",KSIĘGOWOŚĆ,Nie
Kazimierz,Krajewski  ,LO-494423-2009,2009-10-02,4415.85 PLN,LOGISTYKA,0
Janusz,SADOWSKI,ma/880865/2014,2014-09-06,4110.400000000001 PLN,MARKETING ,Fałsz 
ARKADIUSZ,Urbański,MA/336169/2010,2010/06/09,4116.32 ZŁ,MARKETING,nie ma
Wioletta,kwiatkowska,LO/334033/2014,2014-02-18,2935.5750000000003 złotych,LOGISTYKA,Fałsz
anna,WALCZAK,OC/818532/2018 ,,2690.556 pln,OCHRONA,Tak  
beata,Wieczorek,KS.966916.2011,2011/02/14,5095.200000000001 zł,KSIĘGOWOŚĆ,ma
Elżbieta,Rutkowska,cz/357174/2017,2017-12-19,"2 983,0 złotych ",CZYSTOŚĆ,FAŁSZ
Czesław,Sadowski,SP.349805.2012  ,2012-01-30,4202.055 zł,SPRZEDAŻ,TAK
Franciszka,Ostrowska,KS/622711/2011,2011-10-22 ,"6 182,0 zł",KSIĘGOWOŚĆ,NIE
Marianna,Wójcik,KA_959076_2009,2009/10/02,4904.665000000001 ZŁ,KADRY ,NIE
Marek,DUDA,SP/944348/2013,2013/06/13,4731.705 pln,SPRZEDAŻ,MA
Karolina,Wojciechowska,KA.614903.2011,2011-02-14,4175.545000000001 pln ,KADRY,MA
Jadwiga,Wieczorek,SP/720106/2015,2015-08-22T00:00:00,"4 950,15 PLN",SPRZEDAŻ,false
Joanna,Zając,SP/379072/2013,2013-11-10,5146.200000000001 ZŁ,SPRZEDAŻ,0
HELENA,Jaworska,lo/564372/2013,2013-12-30T00:00:00,4604.985000000001 zł,LOGISTYKA,true
EUGENIUSZ,Wysocki,lo/129615/2018,2018/08/26  ,3564.81 ZŁ,LOGISTYKA,0
Janusz,Szczepański,LO/313995/2010,2010-03-01T00:00:00,4537.215 złotych,LOGISTYKA,Nie
Gertruda,Olszewska,ZA/224326/2013,2013/04/24,81700.0 PLN,ZARZĄD,Nie
Włodzimierz,witkowski,ks/915518/2010,2010-03-01,4431.8 PLN,KSIĘGOWOŚĆ,Fałsz
Lucjan,Kwiatkowski ,CZ/553034/2012 ,2012-10-06,3743.3 PLN,CZYSTOŚĆ,tak
Alfred,Olszewski,KA.273062.2016,,"4 109,515 zł",KADRY,NIE
Paweł,Sobczak,LO/974845/2010,2010-03-01,4004.1000000000004 pln,LOGISTYKA,nie ma
Wacław,Lis,OC/371171/2016,2016-04-28,3438.8200000000006 PLN,OCHRONA,true
Janina,Wojciechowska,sp/342615/2018,2018-08-26T00:00:00,4654.200000000001 PLN,SPRZEDAŻ,nie
Eugeniusz,Dudek,sp/978572/2016,2016-01-19,5055.75 pln,SPRZEDAŻ,Fałsz
Iwona,pietrzak,MA/443486/2018,2018-05-18T00:00:00,"4 785,280000000001 ZŁ",MARKETING,FAŁSZ
Bernadeta,Wróbel,OC/552483/2017,2017-07-22,3494.7000000000003 PLN,OCHRONA,FAŁSZ
janina,Adamczyk,LO-643410-2017,2017-01-03,3380.4 zł,LOGISTYKA,NIE
